Date,Open,High,Low,Close,Volume
2024-03-08,283.9,289.34,280.51,287.39,26554
2024-03-11,287.6,289.95,285.0,288.32,18953
2024-03-12,293.98,294.98,290.15,292.05,17533
2024-03-13,294.81,298.36,291.86,293.15,17947
2024-03-14,291.02,296.35,289.03,293.99,32503
2024-03-15,288.76,298.18,288.76,291.29,81380
2024-03-18,292.72,295.0,288.78,288.78,24797
2024-03-19,288.81,302.72,287.8,301.23,34359
2024-03-20,303.16,303.16,297.0301,300.17,20424
2024-03-21,302.83,307.48,300.03,304.88,35080
2024-03-22,302.98,303.28,298.7,299.93,15143
2024-03-25,301.47,304.17,290.39,293.6,9817
2024-03-26,293.6,296.8229,291.5,291.5,13382
2024-03-27,294.24,297.48,293.785,297.45,28278
2024-03-28,295.0,300.61,295.0,298.14,21121
2024-04-01,298.39,299.96,293.56,297.24,33168
2024-04-02,290.66,296.11,286.59,294.78,29736
2024-04-03,295.21,304.0,295.21,300.73,29577
2024-04-04,304.76,305.6319,297.02,298.74,33040
2024-04-05,300.63,305.2,300.25,305.0,23368
2024-04-08,304.54,308.0,302.6,303.4,30613
2024-04-09,303.0,303.74,296.71,301.21,26867
2024-04-10,299.07,300.65,289.07,290.0,34540
2024-04-11,291.01,296.64,290.89,293.75,29195
2024-04-12,293.31,298.05,288.05,292.71,34382
2024-04-15,294.71,296.57,288.5,293.64,29961
2024-04-16,292.54,292.85,289.32,291.28,25650
2024-04-17,292.17,294.5056,290.72,292.55,28950
2024-04-18,292.44,297.43,291.7,295.01,30417
2024-04-19,293.5,296.8,291.4,296.76,24204
2024-04-22,298.53,303.08,298.3,300.36,18428
2024-04-23,302.27,307.78,302.27,304.28,22973
2024-04-24,303.93,305.5,298.235,304.0,18369
2024-04-25,300.67,301.43,299.23,301.24,13880
2024-04-26,300.0,307.44,300.0,307.44,8672
2024-04-29,306.67,309.83,305.94,309.0,12263
2024-04-30,306.67,311.5,305.395,310.0,30969
2024-05-01,312.43,322.52,309.945,320.61,38247
2024-05-02,320.48,326.68,315.46,326.68,27485
2024-05-03,326.48,340.635,326.47,340.19,24884
2024-05-06,340.2,369.0957,340.2,360.25,39848
2024-05-07,366.55,377.03,364.59,371.78,47060
2024-05-08,375.44,378.445,365.8931,372.0,37284
2024-05-09,374.0,374.47,370.51,371.6,33888
2024-05-10,373.46,373.46,365.9111,366.26,30880
2024-05-13,368.95,372.0,367.15,368.78,19646
2024-05-14,371.9699,377.815,370.03,375.07,22129
2024-05-15,377.55,378.78,371.315,373.09,38017
2024-05-16,374.92,374.92,367.43,367.43,20161
2024-05-17,369.98,369.98,362.27,364.82,20566
2024-05-20,365.52,370.01,363.1,363.1,23208
2024-05-21,361.73,364.6826,355.63,361.99,25424
2024-05-22,361.41,361.73,353.78,358.6,12189
2024-05-23,362.16,362.16,351.82,351.82,17295
2024-05-24,355.48,358.285,350.19,350.19,14384
2024-05-28,348.83,351.0,343.88,343.89,25188
2024-05-29,339.04,342.5,335.66,339.79,17977
2024-05-30,338.54,351.06,338.54,345.78,14032
2024-05-31,352.165,353.0,340.63,342.74,24389
2024-06-03,345.68,345.75,336.49,341.16,19673
2024-06-04,336.56,339.85,335.338,338.6,19319
2024-06-05,340.86,340.86,335.5,335.5,28575
2024-06-06,332.69,335.19,327.66,328.18,28123
2024-06-07,327.41,330.64,322.59,322.61,17767
2024-06-10,321.81,328.66,321.23,328.66,23201
2024-06-11,324.79,328.37,324.26,326.7,19678
2024-06-12,332.05,343.745,332.05,338.75,27350
2024-06-13,340.48,340.48,336.46,336.51,19609
2024-06-14,334.85,342.47,334.85,342.31,18697
2024-06-17,342.0,354.74,342.0,354.59,31723
2024-06-18,354.96,366.47,353.62,366.47,49221
2024-06-20,369.07,373.15,352.1,352.1,27231
2024-06-21,350.03,354.7,342.25,354.19,48089
2024-06-24,357.4,364.245,354.41,357.45,35489
2024-06-25,356.53,357.38,354.165,355.79,8768
2024-06-26,352.88,361.52,348.75,359.46,12787
2024-06-27,362.87,365.8,357.46,360.79,10878
2024-06-28,370.46,370.46,361.94,364.18,39425
2024-07-01,367.7,367.7,348.31,350.18,16054
2024-07-02,350.0,352.18,350.0,350.8,8303
2024-07-03,351.39,356.11,350.02,356.09,5365
2024-07-05,356.63,356.69,352.59,353.27,9928
2024-07-08,357.31,361.5,356.5,356.83,12766
2024-07-09,359.12,359.66,356.13,356.19,7247
2024-07-10,358.0,363.86,358.0,363.79,9820
2024-07-11,368.37,377.83,368.325,372.63,50631
2024-07-12,372.54,396.0,372.07,395.38,37322
2024-07-15,81.61,82.99,80.58,81.77,123588
2024-07-16,82.22,84.19,80.5613,81.37,121853
2024-07-17,80.59,81.39,77.9,78.12,75204
2024-07-18,77.6,79.63,77.32,78.0,46319
2024-07-19,78.09,79.81,77.6,79.55,69127
2024-07-22,81.3,82.59,79.9,82.42,86240
2024-07-23,82.6,85.1,82.58,84.75,81841
2024-07-24,84.0,84.5,81.38,81.38,51927
2024-07-25,82.52,84.25,81.28,81.75,113085
2024-07-26,82.6,84.62,81.99,83.93,101953
2024-07-29,83.48,84.385,81.72,82.38,52041
2024-07-30,82.5,84.35,82.38,82.46,80270
2024-07-31,83.35,86.47,82.92,85.05,77395
2024-08-01,84.98,87.13,82.765,84.93,90797
2024-08-02,81.61,81.61,77.41,78.07,71566
2024-08-05,69.64,75.62,65.4511,74.04,117624
2024-08-06,74.04,75.79,72.55,72.84,87518
2024-08-07,71.99,71.99,68.8545,69.25,174674
2024-08-08,70.4,72.615,69.54,72.0,58962
2024-08-09,72.32,72.96,71.5,72.67,60441
2024-08-12,72.99,73.1,72.0,73.07,74964
2024-08-13,73.37,74.9004,73.37,74.81,62028
2024-08-14,74.8,75.28,74.11,74.55,54483
2024-08-15,77.0,78.15,75.72,77.74,56427
2024-08-16,77.74,78.93,77.05,77.08,84258
2024-08-19,77.37,77.91,76.5935,77.85,46207
2024-08-20,78.08,78.35,76.915,77.51,48367
2024-08-21,77.89,78.83,77.06,78.69,25449
2024-08-22,78.69,78.69,76.59,77.14,59232
2024-08-23,78.23,81.7272,78.165,81.38,37872
2024-08-26,81.87,83.27,81.27,81.41,83145
2024-08-27,80.76,81.47,78.31,79.0,71633
2024-08-28,78.62,79.7299,77.93,78.11,53845
2024-08-29,79.07,79.71,78.468,78.83,38708
2024-08-30,79.44,82.17,79.36,81.73,49909
2024-09-03,81.37,82.06,75.72,76.15,70664
2024-09-04,75.79,76.61,75.58,76.25,101220
2024-09-05,76.64,77.22,74.9,76.27,44132
2024-09-06,75.97,77.18,75.335,76.64,56491
2024-09-09,76.64,77.65,76.25,76.71,52347
2024-09-10,77.44,78.55,77.25,78.08,39810
2024-09-11,78.08,79.07,75.3275,78.84,52828
2024-09-12,79.8,81.86,79.8,81.86,28131
2024-09-13,82.61,85.09,82.61,84.83,39862
2024-09-16,84.49,85.6,84.1075,84.98,55237
2024-09-17,86.16,87.9528,85.8,87.51,41832
2024-09-18,87.24,91.0,87.18,89.26,50409
2024-09-19,92.45,95.84,92.2499,95.44,82976
2024-09-20,95.29,96.58,94.1,94.72,171028
2024-09-23,96.0,96.12,93.51,95.23,45714
2024-09-24,95.09,95.71,92.65,94.23,64725
2024-09-25,94.38,94.78,93.515,94.39,46505
2024-09-26,96.32,96.85,94.39,94.66,73034
2024-09-27,95.44,95.979,94.255,95.52,33698
2024-09-30,95.54,97.88,95.1901,97.66,81299
2024-10-01,97.38,97.38,92.595,93.18,72430
2024-10-02,92.6,94.58,92.33,92.67,42124
2024-10-03,92.23,92.98,90.13,91.63,58151
2024-10-04,93.27,93.75,92.0,93.25,33781
2024-10-07,92.38,94.19,91.71,94.14,56024
2024-10-08,94.14,96.55,93.4548,95.97,43628
2024-10-09,96.16,98.61,96.16,97.69,46017
2024-10-10,96.17,97.66,95.41,97.6,64871
2024-10-11,98.2,101.84,98.2,101.81,86704
2024-10-14,101.81,102.297,100.11,101.35,51045
2024-10-15,101.45,103.96,100.884,101.25,59087
2024-10-16,101.42,103.73,101.25,103.6,40850
2024-10-17,103.6,105.019,103.16,104.32,55769
2024-10-18,104.51,105.5856,102.13,103.75,60465
2024-10-21,104.17,104.67,101.82,103.75,47755
2024-10-22,103.17,104.96,103.01,103.01,48400
2024-10-23,103.0,103.74,100.73,101.97,34875
2024-10-24,102.84,103.47,101.61,102.61,62663
2024-10-25,104.25,104.7299,103.21,104.35,42957
2024-10-28,105.65,106.93,105.05,106.42,67448
2024-10-29,105.82,108.5,105.255,106.95,67902
2024-10-30,107.27,108.6986,106.83,107.07,64356
2024-10-31,107.08,114.75,107.08,112.78,128412
2024-11-01,112.57,114.362,108.22,108.46,134454
2024-11-04,107.65,110.8756,106.2,110.56,107938
2024-11-05,111.07,121.78,111.07,121.34,113252
2024-11-06,126.72,139.03,126.72,137.25,150407
2024-11-07,136.88,139.195,133.78,138.04,107445
2024-11-08,138.04,143.56,135.753,143.11,159364
2024-11-11,145.53,146.7,141.1591,142.3,98205
2024-11-12,141.61,146.0058,137.21,137.78,102125
2024-11-13,139.12,145.12,139.08,142.58,129035
2024-11-14,143.15,144.8999,140.32,141.01,93792
2024-11-15,141.57,143.1799,138.72,141.21,56339
2024-11-18,141.0,145.6334,140.54,143.14,66907
2024-11-19,142.48,143.0199,141.01,141.59,93860
2024-11-20,142.54,144.39,137.85,139.87,102652
2024-11-21,141.65,151.47,141.16,150.33,171010
2024-11-22,149.86,150.24,145.7828,149.73,85750
2024-11-25,151.0,153.9134,146.21,148.55,95357
2024-11-26,146.98,159.5299,146.162,157.45,252488
2024-11-27,157.97,159.3736,147.84,153.79,165217
2024-11-29,155.58,157.2,152.54,153.0,80250
2024-12-02,154.42,156.98,152.26,156.595,124080
2024-12-03,156.25,156.59,147.77,153.0,190600
2024-12-04,153.47,155.93,148.0,151.64,112978
2024-12-05,150.89,151.5173,142.5,150.45,155019
2024-12-06,150.25,153.82,146.63,152.54,106701
2024-12-09,152.11,154.79,140.05,145.04,172313
2024-12-10,145.0,146.37,142.56,143.62,117970
2024-12-11,145.27,148.78,144.02,146.57,126832
2024-12-12,146.93,151.1599,146.64,149.13,73661
2024-12-13,147.49,149.8,143.98,145.94,75588
2024-12-16,145.09,147.38,142.5,144.18,91257
2024-12-17,142.23,143.0,135.24,141.4,119631
2024-12-18,141.96,144.2,133.39,133.61,103017
2024-12-19,134.03,140.0075,131.82,133.74,130652
2024-12-20,130.7,135.27,128.86,132.95,265157
2024-12-23,132.17,136.94,130.8314,135.09,98715
2024-12-24,136.03,136.79,134.95,136.26,39008
2024-12-26,136.0,138.5076,135.48,137.79,64009
2024-12-27,136.91,137.29,133.24,135.58,69969
2024-12-30,135.39,137.32,132.91,134.64,77518
2024-12-31,135.5,136.1575,132.63,132.74,101070
2025-01-02,133.78,135.7185,117.735,122.14,203925
2025-01-03,121.93,124.7499,121.6001,122.97,155464
2025-01-06,123.36,124.315,121.08,121.98,106398
2025-01-07,121.67,123.0,116.35,117.27,154224
2025-01-08,117.25,122.49,117.25,119.36,131478
2025-01-10,118.39,120.876,117.5,119.12,101287
2025-01-13,118.27,120.93,116.03,120.58,90680
2025-01-14,122.92,124.26,120.74,122.06,76438
2025-01-15,126.44,126.44,122.9144,125.32,101674
2025-01-16,125.23,127.19,121.3033,121.53,106838
2025-01-17,122.56,124.505,120.54,120.8,77265
2025-01-21,122.5,123.06,117.2301,118.98,130134
2025-01-22,118.57,120.64,118.01,119.39,89199
2025-01-23,118.92,120.67,116.89,118.68,101645
2025-01-24,117.98,118.5,111.9901,116.15,138786
2025-01-27,112.73,113.69,110.585,113.51,159467
2025-01-28,114.75,116.285,111.38,115.25,126028
2025-01-29,115.0,116.055,111.255,112.27,93475
2025-01-30,112.66,115.6,112.59,113.8,122052
2025-01-31,113.8,114.375,108.715,110.58,523568
2025-02-03,108.37,112.2944,107.52,110.47,127172
2025-02-04,107.09,112.51,104.6942,112.31,182818
2025-02-05,113.37,115.23,111.7,111.7,103642
2025-02-06,111.53,115.08,110.72,111.48,146100
2025-02-07,111.61,113.17,106.61,106.8,113645
2025-02-10,107.07,107.59,103.1001,104.23,158523
2025-02-11,103.01,105.5444,102.43,103.69,116847
2025-02-12,100.4,103.59,99.24,102.49,177381
2025-02-13,104.34,104.54,100.365,102.67,98792
2025-02-14,102.75,104.425,102.22,104.32,125251
2025-02-18,104.9,106.93,103.2308,106.16,90065
2025-02-19,104.74,105.43,101.944114,103.37,98325
2025-02-20,102.83,102.83,99.39,101.16,87988
2025-02-21,102.82,103.47,94.735,95.19,116329
2025-02-24,94.73,96.06,92.0432,93.85,155790
2025-02-25,93.87,96.11,92.5748,95.07,94780
2025-02-26,96.03,98.4,95.03,96.67,97490
2025-02-27,95.91,98.41,91.91,91.97,104322
2025-02-28,92.0,94.42,90.3486,93.85,93133
2025-03-03,94.07,94.15,89.91,90.48,85727
2025-03-04,89.89,91.93,86.93,90.04,148717
2025-03-05,90.92,91.98,89.29,91.93,84070
2025-03-06,90.6,91.9,89.305,90.32,89256
2025-03-07,89.35,91.6373,85.815,90.27,130419
2025-03-10,88.2,88.71,83.3,85.17,150845
2025-03-11,85.3,89.57,85.22,88.07,112007
2025-03-12,90.03,92.75,88.3045,92.73,143759
2025-03-13,93.28,95.1151,90.0283,91.43,109408
2025-03-14,92.94,95.1843,92.12,93.22,72737
2025-03-17,92.44,93.81,91.84,93.14,58818
2025-03-18,92.95,92.95,90.45,91.44,92699
2025-03-19,91.02,96.43,90.72,95.83,101207
2025-03-20,94.52,96.96,94.255,94.34,77050
2025-03-21,93.14,93.985,91.57,93.02,166416
2025-03-24,95.13,98.78,94.13,96.64,91695
2025-03-25,95.64,96.76,92.06,92.88,85684
2025-03-26,93.12,93.12,90.1592,91.02,61251
2025-03-27,90.28,91.95,89.0,90.13,57236
2025-03-28,90.41,90.99,88.24,89.11,63796
2025-03-31,89.49,89.59,86.53,88.38,187462
2025-04-01,88.12,91.555,87.505,91.25,87791
2025-04-02,89.45,93.11,89.33,92.99,62729
2025-04-03,87.14,88.15,85.5991,87.02,85528
2025-04-04,83.5,86.58,80.4651,85.77,131945
2025-04-07,82.1,88.33,80.63,85.25,184409
2025-04-08,88.16,90.515,83.905,85.48,86720
2025-04-09,84.1,95.54,84.1,93.4,127344
2025-04-10,90.93,91.87,88.04,89.94,57025
2025-04-11,89.65,91.965,88.01,91.63,63539
2025-04-14,93.8,95.36,92.735,93.1,62521
2025-04-15,92.88,94.505,91.68,92.53,116685
2025-04-16,91.49,92.09,89.985,91.76,97648
2025-04-17,91.67,91.7959,90.39,90.85,68333
2025-04-21,89.98,90.335,85.6,86.77,94693
2025-04-22,88.12,89.17,87.17,88.39,57231
2025-04-23,90.92,92.34,88.875,90.16,99197
2025-04-24,89.82,94.7,89.16,94.44,79209
2025-04-25,93.85,94.0,91.0,92.4,66240
2025-04-28,91.99,94.21,90.845,92.53,72011
2025-04-29,92.28,93.87,91.06,93.75,119284
2025-04-30,91.64,94.16,91.15,93.51,86551
2025-05-01,93.22,98.69,91.04,98.0,135076
2025-05-02,98.48,100.83,98.2,99.81,98401
2025-05-05,98.47,101.69,98.47,99.54,55581
2025-05-06,98.89,100.18,97.23,98.54,47456
2025-05-07,98.86,99.205,96.51,97.23,55319
2025-05-08,98.73,100.75,97.065,99.45,63019
2025-05-09,99.38,99.45,96.41,98.99,77836
2025-05-12,102.63,104.8,98.046188,99.51,76502
2025-05-13,100.31,103.57,100.31,102.87,104206
2025-05-14,102.88,105.18,102.1,103.39,93151
