Date,Open,High,Low,Close,Volume
2023-10-24,37.63,38.65,37.57,38.56,1352671
2023-10-25,38.25,38.323,36.72,36.93,1147684
2023-10-26,36.85,37.11,35.885,36.12,1774556
2023-10-27,36.11,36.71,35.35,36.07,1083257
2023-10-30,39.97,41.2,39.01,39.79,3411514
2023-10-31,39.76,40.01,38.83,39.21,1136581
2023-11-01,39.13,39.13,37.99,38.72,1240970
2023-11-02,39.7,40.58,39.025,40.45,1093419
2023-11-03,41.26,42.83,40.865,42.76,2199035
2023-11-06,42.49,43.39,42.27,42.34,1256829
2023-11-07,42.01,42.58,41.35,42.02,2010885
2023-11-08,44.41,46.4,42.71,42.87,2523069
2023-11-09,42.96,43.445,39.271,39.52,2107126
2023-11-10,39.81,40.81,39.01,40.54,1675597
2023-11-13,40.1,41.54,39.6,40.92,1186645
2023-11-14,42.39,43.93,42.39,43.56,1707797
2023-11-15,43.53,45.28,43.22,45.14,1563162
2023-11-16,43.72,44.35,43.19,43.77,1403850
2023-11-17,44.03,44.19,43.42,44.17,812357
2023-11-20,44.17,44.81,43.95,44.32,709156
2023-11-21,43.87,44.13,42.84,42.94,844582
2023-11-22,43.34,43.9,43.14,43.56,530795
2023-11-24,43.66,44.05,43.1976,43.79,249103
2023-11-27,43.48,43.89,42.97,43.01,792810
2023-11-28,42.62,42.62,41.55,42.3,1112660
2023-11-29,42.76,43.79,42.62,43.1,725101
2023-11-30,43.1,43.27,42.4515,42.8,1373983
2023-12-01,42.67,44.44,42.495,44.25,1031177
2023-12-04,43.87,44.335,42.99,44.08,879901
2023-12-05,43.62,43.6577,41.2516,41.95,1689068
2023-12-06,42.45,43.14,41.05,41.32,1174925
2023-12-07,41.37,44.07,41.2,43.55,1449701
2023-12-08,43.49,44.79,43.425,44.03,1090546
2023-12-11,44.08,45.43,43.935,45.06,1214207
2023-12-12,45.07,45.07,43.98,44.86,998866
2023-12-13,44.77,46.55,44.54,46.46,1106135
2023-12-14,47.4,49.97,47.12,49.86,1843813
2023-12-15,49.62,49.89,49.01,49.52,1525032
2023-12-18,49.52,49.8,48.965,49.65,902188
2023-12-19,49.99,50.6344,49.6476,50.48,738115
2023-12-20,50.14,51.465,49.37,50.06,1212084
2023-12-21,50.94,51.7,50.45,51.5,735686
2023-12-22,53.5,54.6,52.84,53.0,1884985
2023-12-26,53.1,54.06,52.85,53.51,822545
2023-12-27,53.74,53.83,52.91,53.38,426448
2023-12-28,53.32,53.57,52.96,53.26,440566
2023-12-29,53.02,53.435,52.33,52.42,757027
2024-01-02,52.0,52.84,51.58,52.04,982976
2024-01-03,50.81,51.64,49.87,49.95,972834
2024-01-04,49.82,50.22,48.86,50.2,823964
2024-01-05,50.02,51.005,49.48,50.47,1134767
2024-01-08,50.75,52.0,50.72,51.17,1065158
2024-01-09,50.21,51.828,50.17,51.78,878418
2024-01-10,51.74,52.385,51.19,52.0,588199
2024-01-11,51.91,51.91,50.76,51.44,469651
2024-01-12,52.28,52.28,50.695,50.7,603114
2024-01-16,49.9,53.07,49.56,52.65,1102414
2024-01-17,51.41,52.08,50.69,51.58,570055
2024-01-18,52.55,52.91,51.9099,52.83,674319
2024-01-19,52.92,54.12,52.5425,53.8,1293419
2024-01-22,54.29,55.19,53.97,54.18,926599
2024-01-23,54.9,55.25,53.5,54.3,959700
2024-01-24,54.75,55.825,54.2,54.61,817416
2024-01-25,55.64,56.82,55.5,55.92,2543274
2024-01-26,55.8,56.71,55.27,55.27,1110086
2024-01-29,55.27,57.24,55.27,56.93,1300188
2024-01-30,56.37,56.8,55.72,55.74,1310606
2024-01-31,55.23,56.5,54.48,54.94,1209665
2024-02-01,55.28,56.37,55.0,56.15,894380
2024-02-02,55.55,57.0,55.382,56.48,1198121
2024-02-05,55.92,56.06,54.47,55.6,1000825
2024-02-06,59.76,60.99,58.25,58.84,3659219
2024-02-07,58.84,60.94,58.19,58.77,3961355
2024-02-08,51.26,51.318,45.38,45.585,11262470
2024-02-09,45.81,50.8,45.81,50.205,4750068
2024-02-12,50.58,52.19,49.345,50.34,2746238
2024-02-13,48.5,49.29,47.16,47.59,1929241
2024-02-14,48.4,50.185,47.9,49.59,1739024
2024-02-15,49.88,50.51,49.0794,49.19,1399503
2024-02-16,48.49,50.87,48.36,49.77,1532931
2024-02-20,49.11,49.71,48.01,49.33,1177966
2024-02-21,48.7,48.95,47.61,48.01,1188210
2024-02-22,48.72,50.48,48.59,50.12,1494906
2024-02-23,49.8,49.8,47.84,49.08,1165960
2024-02-26,48.91,50.0,48.59,49.42,1125024
2024-02-27,49.84,49.96,48.02,48.39,1038846
2024-02-28,47.82,47.85,46.86,47.17,963811
2024-02-29,47.55,48.99,47.5,48.47,1604269
2024-03-01,48.89,50.6,48.172,50.49,2970735
2024-03-04,51.0,53.17,50.61,50.76,1989649
2024-03-05,50.15,51.9,49.73,50.79,1286155
2024-03-06,51.51,51.78,50.26,50.33,1379261
2024-03-07,49.75,50.06,47.95,48.86,2011649
2024-03-08,49.64,50.49,47.4901,47.68,1594421
2024-03-11,47.29,47.76,46.62,46.87,786119
2024-03-12,46.99,47.76,46.6,46.88,743590
2024-03-13,46.67,47.28,46.19,47.06,919543
2024-03-14,46.81,47.195,45.75,46.25,1883232
2024-03-15,45.78,46.185,45.1,45.55,1592994
2024-03-18,45.62,47.12,45.57,46.79,1288446
2024-03-19,46.27,46.61,45.45,46.52,1064701
2024-03-20,46.54,49.3,46.445,48.81,1355720
2024-03-21,49.59,51.47,49.45,50.56,1215927
2024-03-22,50.39,51.01,49.635,50.88,1321679
2024-03-25,50.62,51.14,49.98,51.08,750678
2024-03-26,51.3,52.08,48.31,48.41,1948872
2024-03-27,48.66,48.91,47.56,48.45,1643935
2024-03-28,48.16,48.46,47.159,47.35,1199077
2024-04-01,47.59,48.44,47.08,48.15,943673
2024-04-02,47.54,47.67,46.53,47.5,1070061
2024-04-03,47.4,48.31,46.855,47.85,649327
2024-04-04,48.72,48.72,46.34,46.5,561711
2024-04-05,46.43,46.62,45.75,45.9,718467
2024-04-08,46.03,46.61,45.83,45.89,638429
2024-04-09,45.89,47.38,45.89,47.25,693873
2024-04-10,45.86,46.49,44.82,45.34,725602
2024-04-11,45.29,45.7,44.57,45.18,887364
2024-04-12,44.47,44.76,43.3,43.45,687125
2024-04-15,43.75,43.92,41.76,41.81,951030
2024-04-16,42.05,43.45,41.95,43.31,1540693
