Date,Open,High,Low,Close,Volume
2024-02-21,55.58,57.85,55.16,57.45,2291679
2024-02-22,60.0,61.78,59.74,60.47,3732442
2024-02-23,59.83,60.06,58.24,58.86,1676695
2024-02-26,58.92,60.11,58.56,58.57,1316339
2024-02-27,59.22,59.7,57.82,58.02,1324198
2024-02-28,57.44,59.14,57.25,57.97,1203117
2024-02-29,58.43,60.16,58.43,59.48,1584521
2024-03-01,60.0,63.59,60.0,63.47,2485255
2024-03-04,64.02,67.49,64.02,66.89,3936720
2024-03-05,66.07,67.94,64.94,65.94,2854043
2024-03-06,67.0,67.19,64.62,64.72,1566882
2024-03-07,64.2,65.2302,62.34,64.32,2896942
2024-03-08,65.22,67.55,63.82,63.86,2652630
2024-03-11,63.01,63.32,60.48,61.49,1857946
2024-03-12,61.7,63.74,61.36,62.86,1555865
2024-03-13,62.86,62.86,61.395,61.77,1216270
2024-03-14,61.26,61.49,59.05,59.73,1365545
2024-03-15,59.04,59.81,58.35,58.76,3667769
2024-03-18,59.93,60.7,58.69,59.59,1129741
2024-03-19,57.77,59.155,55.72,58.0,2412781
2024-03-20,58.0,60.79,57.59,60.01,1775537
2024-03-21,61.91,64.97,61.72,63.24,2458200
2024-03-22,62.53,64.36,62.51,63.3,2380158
2024-03-25,63.0,63.29,61.7901,62.12,1614720
2024-03-26,62.76,63.2899,59.62,59.68,2072226
2024-03-27,60.08,61.105,59.22,60.88,1653799
2024-03-28,61.13,62.26,60.19,60.62,1545035
2024-04-01,61.0,61.5,59.86,60.0,1520103
2024-04-02,58.51,59.02,57.48,58.9,2070183
2024-04-03,58.48,59.92,58.48,59.44,1449659
2024-04-04,60.16,60.69,57.12,57.57,1724843
2024-04-05,57.77,58.21,56.92,57.64,1364967
2024-04-08,58.43,58.86,56.98,57.39,950366
2024-04-09,57.54,58.95,57.15,57.48,998706
2024-04-10,56.04,56.89,55.16,55.85,989549
2024-04-11,56.24,56.86,55.89,56.03,1226487
2024-04-12,55.23,55.295,53.08,53.6,1944607
2024-04-15,54.05,54.09,52.09,52.12,1300033
2024-04-16,52.08,53.4,51.91,53.05,1686956
2024-04-17,53.11,53.775,51.77,51.81,1623391
2024-04-18,51.59,52.0,50.68,51.0,1313876
2024-04-19,50.71,51.0,48.78,49.26,3297344
2024-04-22,50.28,51.87,49.52,51.51,2212363
2024-04-23,52.04,53.49,51.89,52.35,1883516
2024-04-24,53.56,54.85,52.04,52.1,1689820
2024-04-25,51.6,53.58,51.153,52.88,1588447
2024-04-26,53.13,55.66,53.13,55.06,2613125
2024-04-29,54.79,56.0,53.89,55.84,1440526
2024-04-30,55.49,57.025,53.6,54.63,1725011
2024-05-01,54.37,56.45,53.355,54.34,2082477
2024-05-02,55.04,55.75,53.18,55.36,1557101
2024-05-03,56.89,57.55,56.02,56.51,1380657
2024-05-06,57.32,58.515,57.055,57.92,2777145
2024-05-07,61.0,61.09,54.7,55.3,6184245
2024-05-08,55.49,55.49,53.62,54.7,4356831
2024-05-09,54.43,54.94,53.43,54.52,2010376
2024-05-10,55.39,55.44,53.26,53.69,1800086
2024-05-13,53.59,55.0,53.49,54.37,1408237
2024-05-14,54.5,56.73,54.33,56.65,1555261
2024-05-15,57.3,58.05,56.55,57.08,1645999
2024-05-16,58.03,59.86,57.8,58.33,1997308
2024-05-17,58.52,59.8965,57.95,58.13,1578594
2024-05-20,58.5,59.77,58.4,58.89,1470657
2024-05-21,58.22,58.345,57.46,57.82,1026741
2024-05-22,57.97,58.4,56.78,57.06,1491723
2024-05-23,60.83,61.74,58.08,59.06,2306822
2024-05-24,59.49,59.955,58.84,59.67,1219954
2024-05-28,60.45,60.7999,58.739,59.03,1510874
2024-05-29,58.01,58.89,57.745,58.02,889390
2024-05-30,58.3,59.34,57.2,59.19,1298817
2024-05-31,59.18,59.9363,55.22,57.06,3957677
2024-06-03,61.05,70.33,60.49,70.1,10883035
2024-06-04,68.42,68.42,64.65,65.89,3861911
2024-06-05,66.05,67.165,65.85,66.75,1790269
2024-06-06,66.98,68.3,65.96,66.03,1776820
2024-06-07,65.07,66.15,64.09,65.88,1923588
2024-06-10,64.57,67.08,64.475,66.62,1496127
2024-06-11,66.48,67.95,65.92,66.89,1641585
2024-06-12,68.53,70.83,68.455,70.43,2950841
2024-06-13,70.1,71.1081,69.11,70.92,1678206
2024-06-14,70.2,72.49,70.0101,71.75,2567598
2024-06-17,70.91,74.4,70.87,73.98,1770659
2024-06-18,73.95,75.25,73.39,73.43,2049225
2024-06-20,73.66,73.73,70.41,70.99,2816427
2024-06-21,69.63,71.94,68.26,71.93,3339600
2024-06-24,71.23,72.17,69.03,71.75,2333589
